78823,349162,何耿繩;何耿繩
54525,338826,廖廷相;廖廷相
35048,345844,張之洞;張之洞
130319,346152,張大輪;張大輪
80086,345885,張寅;張寅
80448,125622,張廷濟;張廷濟
34226,346572,張惠言;張惠言
80926,345054,張敦仁;張敦仁
67223,130460,張益;張益
130484,345660,張納陛;張納陛
80163,345407,張翯;張翯
130419,345518,張肯堂;張肯堂
80602,346393,張若采;張若采
80602,441608,張若采;張若采
79974,346389,張英;張英
54432,345847,張之萬;張之萬
124309,305824,張位;張位
8012,446009,張洎;張洎
34791,131270,釋袾宏;釋袾宏
68455,133394,顔鯨;顔鯨
80172,345877,張謇;張謇
80844,441223,張躍鱗;張躍鱗
54302,346957,張金鏞;張金鏞
80069,347084,張銓;張銓
80587,125638,張際亮;張際亮
54146,354107,徐人龍;徐人龍
16504,386308,徐僑;徐僑
86950,129905,徐孚遠;徐孚遠
30603,354004,徐松;徐松
129922,353830,徐汧;徐汧
56385,338406,徐熊飛;徐熊飛
56385,441224,徐熊飛;徐熊飛
86711,353993,徐相;徐相
87088,353955,徐葆光;徐葆光
30590,354131,徐釚;徐釚
86395,367703,恩桂;恩桂
35186,341188,施閏章;施閏章
35186,341189,施閏章;施閏章
30144,66032,朱彜尊;朱彝尊
66032,350788,朱彜尊;朱彝尊
74286,350954,朱彭壽;朱彭壽
29951,70450,朱筠;朱筠
35105,358227,李兆洛;李兆洛
33848,374265,翁方綱;翁方綱
33848,374265,翁方綱;翁方綱
35003,360684,董其昌;董其昌
91018,363410,蔡念慈;蔡念慈
86477,375108,錢以同;錢以同
29766,375110,錢儀吉;錢儀吉
68547,308811,徐階;徐階
91728,125640,戴鈞衡;戴鈞衡
85175,125620,施國祁;施國祁
127733,206085,李三才;李三才
77456,359046,李因篤;李因篤
77882,358809,李翹芬;李翹芬
77136,438192,李銳;李銳
30301,359828,杭世駿;杭世駿
88490,125634,梅曾亮;梅曾亮
35124,125619,楊鳳苞;楊鳳苞
55684,353008,殷兆鏞;殷兆鏞
91372,352716,黎湛枝;黎湛枝
91350,352700,黎元寬;黎元寬
54133,118895,黃汝亨;黃汝亨
54133,131374,黃汝亨;黃汝亨
54133,362772,黃汝亨;黃汝亨
88250,362559,黃承吉;黃承吉
58563,362891,黃彭年;黃彭年
88186,362735,黃安濤;黃安濤
130219,338776,鹿善繼;鹿善繼
90260,125641,魯一同;魯一同
35079,351350,魏象樞;魏象樞
73590,355229,馮崧生;馮崧生
34836,356833,湯斌;湯斌
75527,125637,湯鵬;湯鵬
90436,356818,溫肅;溫肅
54483,355788,潘世恩;潘世恩
33903,355808,潘耒;潘耒
79511,125623,沈濤;沈濤
59090,356201,沈廷芳;沈廷芳
79491,125609,沈垚;沈垚
66037,354800,江聲;江聲
33879,348836,毛奇齡;毛奇齡
34013,367887,畢沅;畢沅
33176,357018,祁寯藻;祁寯藻
85403,356917,祝廷華;祝廷華
65833,352453,程晉芳;程晉芳
124891,337944,耿定向;耿定向
65093,500186,范梁;范梁
86241,125617,顧廣譽;顧廣譽
126328,281935,丁璣;丁璣
74351,348660,喬萊;喬萊
67950,325185,張洪;張洪
345291,345292,張烈;張烈
80069,347084,張銓;張銓
310929,323363,張鼎;張鼎
88642,367201,戚人鏡;戚人鏡
91671,438302,戴易;戴易
79932,438090,改琦;改琦
72493,339053,方大淳;方大淳
72471,441239,方球;方球
54685,374732,曾燠;曾燠
34349,438198,曾紀鴻;曾紀鴻
90350,374607,曾習經;曾習經
127408,307256,朱應登;朱應登
74275,125656,朱銘盤;朱銘盤
74342,350608,朱麟祺;朱麟祺
77358,357674,李孔昭;李孔昭
77666,358187,李宗沆;李宗沆
77313,358090,李從龍;李從龍
77086,358328,李昶;李昶
77317,359199,李鳳書;李鳳書
77887,357865,李鼎元;李鼎元
82649,364160,林春溥;林春溥
85992,363823,桂文燿;桂文燿
89100,356004,梁士詒;梁士詒
76840,365152,楊思聖;楊思聖
84946,439133,段光清;段光清
75449,354727,江衡;江衡
75496,354775,江逢辰;江逢辰
79389,354894,汪孟鋗;汪孟鋗
79424,354842,汪康年;汪康年
54184,354887,汪廷珍;汪廷珍
79454,354917,汪德容;汪德容
79232,355146,汪煜;汪煜
35043,355147,汪輝祖;汪輝祖
54210,356386,沈葆楨;沈葆楨
85349,125602,洪頤煊;洪頤煊
90463,357105,游光繹;游光繹
90466,357089,游紹安;游紹安
75519,125629,湯球;湯球
90431,356799,溫儀;溫儀
132275,208653,熊過;熊過
132275,318293,熊過;熊過
55786,342163,王仁堪;王仁堪
71597,342667,王兆符;王兆符
65759,343570,王原祁;王原祁
35063,56833,王士禎;王士禛
71635,342592,王安瀾;王安瀾
35049,343271,王懿榮;王懿榮
65762,343405,王掞;王掞
72046,343321,王敬銘;王敬銘
54580,341614,王文治;王文治
33556,342774,王昶;王昶
57185,343223,王植;王植
71157,341900,王烈;王烈
126814,232115,王畿;王畿
71200,341636,王章;王章
199150,267619,王賓;王賓
123984,333661,王錫爵;王錫爵
72126,343817,王錫蕃;王錫蕃
55233,367732,田雯;田雯
73018,348952,盧維慶;盧維慶
54731,344578,石韞玉;石韞玉
85749,367061,秦恩復;秦恩復
85749,367061,秦恩復;秦恩復
90288,338747,童棫;童棫
91080,125635,管同;管同
84561,365802,胡世琦;胡世琦
84491,365894,胡煦;胡煦
82499,360777,范鄗鼎;范鄗鼎
66251,109721,葉琛;葉琛
89448,360552,董文驥;董文驥
54088,363296,蔡之定;蔡之定
90982,363274,蔡升元;蔡升元
89685,361391,蔣恭棐;蔣恭棐
89543,361423,蔣杲;蔣杲
57226,361343,蔣溥;蔣溥
76417,125639,蘇惇元;蘇惇元
85796,359645,袁佑;袁佑
125652,359672,袁寶璜;袁寶璜
85881,359640,袁繼梓;袁繼梓
63578,359774,袁銑;袁銑
91076,347231,裴蔭森;裴蔭森
75731,341308,許作屏;許作屏
75782,341413,許振礽;許振礽
90620,340572,謝道承;謝道承
56569,366208,趙翼;趙翼
132207,289093,趙逯;趙逯
82269,348471,邵瑛;邵瑛
30309,365423,郝懿行;郝懿行
87570,340951,郭肇鐄;郭肇鐄
79095,353276,鄒嘉來;鄒嘉來
79088,353285,鄒植行;鄒植行
29589,329275,鄭曉;鄭曉
83018,374138,金溶;金溶
86410,375188,錢枚;錢枚
86491,375060,錢爾登;錢爾登
75416,373826,關冕鈞;關冕鈞
75418,373799,關賡麟;關賡麟
81585,372373,陳介祺;陳介祺
81866,438807,陳其元;陳其元
54950,371592,陳寶琛;陳寶琛
246088,261926,陳璲;陳璲
81966,371491,陳紹棠;陳紹棠
87852,373517,陶士偰;陶士偰
130723,319011,陶承學;陶承學
130723,323316,陶承學;陶承學
87896,373530,陶春元;陶春元
87881,438265,陶汝鼐;陶汝鼐
81160,370744,陸以湉;陸以湉
81114,370755,陸寅;陸寅
81093,370758,陸沅;陸沅
33794,302486,陸炳;陸炳
33794,305697,陸炳;陸炳
132287,225413,雒遵;雒遵
89817,361917,韓弼元;韓弼元
86359,355573,顧嗣立;顧嗣立
86263,355431,顧文彬;顧文彬
70992,369034,馬學易;馬學易
70908,368762,馬疏;馬疏
73525,355194,馮雲驌;馮雲驌
73529,355193,馮雲驤;馮雲驤
87243,339230,高玢;高玢
87245,339182,高詠;高詠
91843,351360,魏家驊;魏家驊
91833,351410,魏茂林;魏茂林
34350,351284,魏裔介;魏裔介
90249,353342,魯鴻;魯鴻
76244,357286,麥鴻鈞;麥鴻鈞
88122,362986,黃本訥;黃本訥
68414,328182,黃正色;黃正色
72960,340101,龍建章;龍建章
439165,448460,袁天綱;袁天綱
92366,186224,盧肇;盧肇
131775,364505,楊廷麟;楊廷麟
12255,146954,蕭統;蕭統
12255,339548,蕭統;蕭統
82003,372414,陳鍾麟;陳鍾麟
81286,125624,陸增祥;陸增祥
132061,219333,鄒觀光;鄒觀光
62505,264037,王恕;王恕
68414,328182,黃正色;黃正色
33502,33510,李習仁;李習仁
30328,327121,項元汴;項元汴
84043,344880,項名達;項名達
67331,262791,黎淳;黎淳
65690,338899,齊召南;齊召南
74707,361014,莊培因;莊培因
34573,271557,賀欽;賀欽
132448,373983,歐陽東鳳;歐陽東鳳
132448,470613,歐陽東鳳;歐陽東鳳
125658,338400,賀濤;賀濤
81516,371045,陳三立;陳三立
88036,362749,黃濬;黃濬
89501,125625,董祐誠;董祐誠
126680,329590,王問;王問
91195,125632,譚敬昭;譚敬昭
90438,131687,溫璜;溫璜
90438,356792,溫璜;溫璜
56580,439074,茅元儀;茅元儀
29571,261806,李承箕;李承箕
209075,340474,謝廷讚;謝廷讚
131430,363048,黃景昉;黃景昉
29580,372146,陳邦瞻;陳邦瞻
129368,339247,高出;高出
372956,438263,周永春;周永春
66274,107551,章溢;章溢
117786,131527,華悰韡;華宗鞾
83179,373405,周鍾;周鍾
79982,130425,張采;張采
133643,355469,顧秉謙;顧秉謙
122508,352783,倪仁禎;倪仁禎
126402,339108,方岳貢;方岳貢
30861,32479,杜淹;杜淹
207853,332421,楊瑛;楊瑛
66632,131399,黃彥清;黃彥清
245566,355587,顧巽;顧巽
122198,133380,鍾惺;鍾惺
30190,123565,屈大均;屈大均
20536,381528,陸希聲;陸希聲
36888,46790,范氏(張琬妻);范氏(張琬妻)
5009,49116,陳氏(程琳妻);陳氏(程琳妻)
5046,48888,鄧氏(賀允中妻;鄧氏(賀允中妻
131188,206140,游樸;游樸
131188,509088,游樸;游朴
204171,315141,趙祖鵬;趙祖鵬
68236,324953,霍韜;霍韜
33171,128488,祁承㸁;祁承㸁
33171,357011,祁承㸁;祁承㸁
34501,250264,劉球;劉球
90595,340634,謝泰宗;謝泰宗
233848,364367,賀燦然;賀燦然
132043,319449,鄒守益;鄒守益
33187,133119,錢琦;錢琦
33187,298505,錢琦;錢琦
130777,371035,陳一元;陳一元
204233,212364,馬自強;馬自強
216128,230672,黃洪憲;黃洪憲
133673,355531,顧夢圭;顧夢圭
203738,336237,李一元;李一元
131954,363524,葉良佩;葉良佩
132606,229269,蔡獻臣;蔡獻臣
132606,363271,蔡獻臣;蔡獻臣
89912,352491,程崟;程崟
266609,352620,程昌;程昌
90896,354419,竇垿;竇垿
256030,324163,王琦;王琦
128667,359812,來宗道;來宗道
202120,214655,司馬相;司馬相
202120,316531,司馬相;司馬相
67063,344351,夏時;夏時
129799,212349,孫鏊;孫鏊
129799,315634,孫鏊;孫鏊
129799,319049,孫鏊;孫鏊
129799,336084,孫鏊;孫鏊
125530,334797,張岳;張岳
79952,283233,張遠;張遠
127329,328387,朱袞;朱袞
77517,358161,李安世;李安世
71552,342295,王先吉;王先吉
28798,254720,王冕;王冕
71277,100968,王霖;王霖
33171,128488,祁承㸁;祁承㸁
33171,357011,祁承㸁;祁承㸁
203515,323988,胡安;胡安
198877,243203,胡恭;胡恭
43049,104887,胡渭;胡渭
201903,306973,葛木;葛木
90597,442381,謝起龍;謝起龍
132403,215583,鄭舜臣;鄭舜臣
113061,126368,釋大同;釋大同
81374,130946,陳塏;陳塏
81374,371908,陳塏;陳塏
203551,296253,陳絳;陳絳
203551,314961,陳絳;陳絳
204139,296255,陳綰;陳綰
81456,108070,陳謨;陳謨
81456,199468,陳謨;陳謨
81456,371012,陳謨;陳謨
309528,323310,陶廷奎;陶廷奎
133718,340398,龔輝;龔輝
128931,220217,周應賓;周應賓
135127,339715,完顏允恭;完顏允恭
87934,360944,堵胤錫;堵胤錫
128931,220217,周應賓;周應賓
127627,232068,沈節甫;沈節甫
127627,224528,沈節甫;沈節甫
130782,371097,陳于廷;陳于廷
235440,355553,顧起元;顧起元
131573,237105,焦宏;焦宏
131573,240759,焦宏;焦宏
28093,511342,方孝孺;方孝儒
68092,217391,楊廷和;楊廷和
68092,275716,楊廷和;楊廷和
35222,229489,袁宏道;袁宏道
128587,313667,林兆恩;林兆恩
130245,366036,梅之煥;梅之煥
127561,272633,沈灼;沈爚
71684,342982,王希旦;王希旦
135086,289880,陳昌積;陳昌積
128374,337057,余懋孳;余懋孳
128374,374872,余懋孳;余懋孳
87907,373485,陶崇道;陶崇道
86686,353951,徐芳;徐芳
219197,364232,林民止;林民止
205702,221210,黃猷吉;黃猷吉
205702,363136,黃猷吉;黃猷吉
741,537887,熊彥詩;熊彥詩
94651,447460,梁肅;梁肅
94651,165697,梁肅;梁肅
94651,190585,梁肅;梁肅
28603,419715,胡衹遹;胡祗遹
106657,386141,張復;張復
33424,112184,衛培;衛培
34528,128234,吳溥;吳溥
43829,151114,釋道一;道一
434420,511824,駱仲明;賈仲明
290050,310258,周如登;周如登
131205,356869,湯賓尹;湯賓尹
34700,304155,王慎中;王慎中
34700,343916,王慎中;王慎中
134679,504918,沈約;沈約
128843,373446,周炳謨;周炳謨
126629,342532,王家植;王家植
122220,126629,王家植;潘之恆
126629,132309,王家植;潘之恆
128843,373446,周炳謨;周炳謨
132357,375475,鄭以偉;鄭以偉
59966,357548,李天經;李天經
24353,511647,葛長庚;白玉蟾
59966,357548,李天經;李天經
22469,93128,李翱;李翺
22469,189536,李翱;李翺
22469,189795,李翱;李翺
34625,263976,李正;李正
66032,510911,朱彜尊;朱彛尊
177131,446733,崔龜從;崔龜從
126312,344162,丁奉;丁奉
55365,566367,龍錢潔;錢潔
55346,566408,湯淑英;湯淑英
122816,566506,楊徹;楊徹
135275,374346,俞琬綸;俞琬綸
129208,439204,俞允文;俞允文
130605,578877,張鳳翼;張鳳翼
565471,566614,朱柔英;朱柔英
68166,130832,陳束;陳束
68166,123161,陳束;董氏(陳束妻)
68166,287346,陳束;董氏(陳束妻)
127729,560897,杜瓊;杜瓊
127729,259487,杜瓊;杜瓊
245058,525515,吳融;吳孟融
270014,328384,朱顥;朱顥
34581,247601,王琬（Wang Wan(5)）-;王朝用（Wang Chaoyong）-
30681,351259,皇甫汸;皇甫方
30676,290228,皇甫錄;皇甫錄
129208,439204,俞允文;俞允文
20555,511059,危稹;危稹
35295,510977,俞桂;俞桂
22701,511755,葉紹翁;葉紹翁
48073,511975,陳鑒之;陳鑒之
43098,511352,施樞;施樞
27798,511803,許棐;許棐
40057,511386,朱繼芳;朱繼芳
30225,512084,黃文雷;黃文雷
42614,511113,周文璞;周文璞
133092,375090,錢仁夫;錢仁夫
126312,344162,丁奉;丁奉
133065,348926,盧襄;盧襄
35261,301102,袁袠;袁袠
439124,559755,袁表;袁表
35256,301099,袁表;袁表
218946,301101,袁褒;袁褒
126804,343301,王穀祥;王穀祥
128536,226311,邵圭潔;邵圭潔
35262,218953,袁尊尼;袁尊尼
130605,578877,張鳳翼;張鳳翼
71654,235156,王志長;王志長
135275,374346,俞琬綸;俞琬綸
35040,118840,王穉登;王稚登
35040,577136,王穉登;王穉登
66884,240883,吳訥;吳訥
34581,247601,王朝用;王琬
128402,303087,何良俊;何良俊
128402,303087,何良俊;何良俊
126312,344162,丁奉;丁奉
204294,217187,秦可大;秦可大
92525,446935,朱長文;朱長文
326164,333658,王夢祥;王夢祥
130769,370687,陸應龍;陸應龍
65871,126213,金人瑞;金人瑞
124003,326167,王鼎爵;王鼎爵
32024,93470,張彥遠;張彥遠
32024,380725,張彥遠;張彥遠
41093,468593,李重進;李重進
95092,155852,魏玄同;魏玄同
135353,339525,劉備;劉備
204478,216734,史朝寀;史朝寀
204478,308526,史朝寀;史朝寀
204478,316597,史朝寀;史朝寀
204478,318053,史朝寀;史朝寀
204478,336458,史朝寀;史朝寀
31736,155010,盧杞;盧杞
32478,173287,杜景秀;杜景秀
32477,173277,杜顒;杜顒
32477,462805,杜顒;杜顒
92151,179850,韋元甫;韋元甫
